No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,10,Colorado
31,Klay Thompson,SF,6-5,215,"February 8, 1990",us US,11,Washington State
13,Naji Marshall,SF,6-7,220,"January 24, 1998",us US,4,Xavier
8,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",ca CA,1,"Clemson, Marquette"
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,5,Kentucky
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,5,Arkansas
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,13,Duke
1,Jaden Hardy,SG,6-4,198,"July 5, 2002",us US,2,
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,10,Stanford
20,Kessler Edwards (TW),SF,6-8,215,"August 9, 2000",us US,3,Pepperdine
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,1,Duke
10,Brandon Williams (TW),PG,6-1,190,"November 22, 1999",us US,2,Arizona
0,Max Christie,SG,6-6,190,"February 10, 2003",us US,2,Michigan State
0,Dante Exum,PG,6-5,214,"July 13, 1995",au AU,7,
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,5,"NC State, Nevada"
23,Kai Jones (TW),C,6-11,218,"January 19, 2001",bs BS,2,Texas
3,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,12,Kentucky
