No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,Chris Anstey,C,7-0,249,"January 1, 1975",au AU,R,
44,Shawn Bradley,C,7-6,235,"March 22, 1972",de DE,4,BYU
51,Adrian Caldwell,PF,6-8,265,"July 4, 1966",us US,5,"SMU, Lamar"
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,7,Cal State Fullerton
24,Hubert Davis,SG,6-5,183,"May 17, 1970",us US,5,UNC
4,Michael Finley,SF,6-7,215,"March 6, 1973",us US,2,Wisconsin
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,12,Oregon State
13,Martin Müürsepp,PF,6-9,235,"September 26, 1974",ee EE,1,
3,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,R,UConn
14,Robert Pack,PG,6-2,180,"February 3, 1969",us US,6,USC
6,Khalid Reeves,PG,6-3,199,"July 15, 1972",us US,3,Arizona
21,Shawn Respert,SG,6-1,195,"February 6, 1972",us US,2,Michigan State
50,Eric Riley,C,7-0,245,"June 2, 1970",us US,3,Michigan
7,Dennis Scott,SF,6-8,229,"September 5, 1968",us US,7,Georgia Tech
20,Erick Strickland,SG,6-3,210,"November 25, 1973",us US,1,Nebraska
40,Kurt Thomas,PF,6-9,230,"October 4, 1972",us US,2,TCU
52,Samaki Walker,PF,6-9,240,"February 25, 1976",us US,1,Louisville
35,Bubba Wells,SG,6-5,230,"July 26, 1974",us US,R,Austin Peay State University
