No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
43,Chris Carr,SG,6-5,207,"March 12, 1974",us US,1,Southern Illinois
21,Kevin Garnett,SF,6-11,240,"May 19, 1976",us US,1,
22,Dean Garrett,C,6-10,225,"November 27, 1966",us US,R,Indiana
24,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us US,4,NC State
10,Shane Heal,PG,6-0,180,"September 6, 1970",au AU,R,
31,Reggie Jordan,SG,6-4,195,"January 26, 1968",us US,2,New Mexico State
3,Stephon Marbury,PG,6-2,180,"February 20, 1977",us US,R,Georgia Tech
42,Sam Mitchell,SF,6-6,210,"September 2, 1963",us US,7,Mercer University
44,Cherokee Parks,PF,6-11,235,"October 11, 1972",us US,1,Duke
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,11,University of Wisconsin-Stevens Point
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,3,Alabama
11,Stojko Vranković,C,7-2,260,"January 22, 1964",hr HR,2,
5,Doug West,SG,6-6,200,"May 27, 1967",us US,7,Villanova
