No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
41,Thurl Bailey,PF,6-11,215,"April 7, 1961",us US,9,NC State
21,Lance Blanks,SG,6-4,190,"September 9, 1966",us US,2,"Virginia, Texas"
4,Gerald Glass,SF,6-5,221,"November 12, 1967",us US,2,"Delta State University, Ole Miss"
32,Christian Laettner,PF,6-11,235,"August 17, 1969",us US,R,Duke
13,Luc Longley,C,7-2,265,"January 19, 1969",au AU,1,New Mexico
25,Marlon Maxey,PF,6-8,250,"February 19, 1969",us US,R,"Minnesota, Texas-El Paso"
30,Bob McCann,SF,6-6,244,"April 22, 1964",us US,2,"Upsala College, Morehead State University"
45,Chuck Person,SF,6-8,220,"June 27, 1964",us US,6,Auburn
52,Mark Randall,PF,6-8,235,"September 30, 1967",us US,1,Kansas
4,Brad Sellers,PF,7-0,210,"December 17, 1962",us US,5,"Wisconsin, Ohio State"
3,Chris Smith,SG,6-3,190,"May 17, 1970",us US,R,UConn
50,Felton Spencer,C,7-0,265,"January 15, 1968",us US,2,Louisville
2,Gundars Vētra,SF,6-6,195,"May 22, 1967",lv LV,R,
5,Doug West,SG,6-6,200,"May 27, 1967",us US,3,Villanova
24,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,4,Baylor
