No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
53,Jerome Allen,SG,6-4,184,"January 28, 1973",us US,R,Penn
33,Marques Bragg,PF,6-8,230,"March 24, 1970",us US,R,Providence
7,Mark Davis,SF,6-7,210,"April 26, 1973",us US,R,"Howard College, Texas Tech"
21,Kevin Garnett,SF,6-11,240,"May 19, 1976",us US,R,
24,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us US,3,NC State
32,Christian Laettner,C,6-11,235,"August 17, 1969",us US,3,Duke
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,7,Arkansas
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,1,UCLA
42,Sam Mitchell,SF,6-6,210,"September 2, 1963",us US,6,Mercer University
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,10,University of Wisconsin-Stevens Point
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,2,UNLV
40,Eric Riley,C,7-0,245,"June 2, 1970",us US,2,Michigan
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,3,Arizona
3,Charles Smith,PG,6-1,160,"November 29, 1967",us US,2,Georgetown
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,10,"Midland College, NC State"
5,Doug West,SG,6-6,200,"May 27, 1967",us US,6,Villanova
4,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,7,Baylor
