No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,R,"Colorado, Iowa"
44,Adrian Caldwell,PF,6-8,265,"July 4, 1966",us US,1,"SMU, Lamar"
5,Dave Feitl,C,6-11,235,"June 8, 1962",us US,3,Texas-El Paso
21,Sleepy Floyd,PG,6-3,170,"March 6, 1960",us US,8,Georgetown
32,Dave Jamerson,SG,6-5,190,"August 13, 1967",us US,R,Ohio University
1,Buck Johnson,SF,6-7,190,"January 3, 1964",us US,4,Alabama
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,2,Florida
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,6,Houston
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,3,UNC
13,Larry Smith,PF,6-8,215,"January 18, 1958",us US,10,Alcorn State
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,6,Providence
20,Kennard Winchester,SF,6-5,210,"September 3, 1966",us US,R,"James Madison University, Averett University"
10,David Wood,SF,6-9,227,"November 30, 1964",us US,1,Nevada
42,Mike Woodson,SG,6-5,195,"March 24, 1958",us US,10,Indiana
