No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Melvin Booker,PG,6-2,185,"August 20, 1972",us US,R,Missouri
15,Tim Breaux,SF,6-7,215,"September 19, 1970",us US,1,Wyoming
52,Chucky Brown,PF,6-7,214,"February 29, 1968",us US,6,NC State
2,Mark Bryant,PF,6-9,245,"April 25, 1965",us US,7,Seton Hall
10,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,2,Florida State
32,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,4,UNC
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,12,Houston
17,Mario Elie,SF,6-5,210,"November 26, 1963",us US,5,American International College
55,Alvin Heggs,SF,6-8,225,"December 12, 1967",us US,R,Texas
25,Robert Horry,SF,6-10,240,"August 25, 1970",us US,3,Alabama
12,Jaren Jackson,SG,6-4,190,"October 27, 1967",us US,5,Georgetown
21,Henry James,PF,6-8,220,"July 29, 1965",us US,4,"South Plains College, St. Mary's University"
27,Charles Jones,PF,6-9,215,"April 3, 1957",us US,12,Albany State University
4,Sam Mack,SF,6-7,220,"May 26, 1970",us US,1,"Iowa State, Tyler Junior College, Houston"
20,Tracy Moore,SG,6-4,200,"December 28, 1965",us US,3,Tulsa
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,11,Houston
3,Eldridge Recasner,SG,6-3,190,"December 14, 1967",us US,1,Washington
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,8,UNC
