No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Mark Acres,C,6-11,220,"November 15, 1962",us US,5,Oral Roberts
1,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,4,"TCU, University of California, Irvine"
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,2,"Colorado, Iowa"
21,Sleepy Floyd,PG,6-3,170,"March 6, 1960",us US,10,Georgetown
22,Winston Garland,PG,6-2,170,"December 19, 1964",us US,5,Missouri State
7,Carl Herrera,PF,6-9,215,"December 14, 1966",tt TT,1,"Jacksonville College, Houston"
25,Robert Horry,SF,6-10,240,"August 25, 1970",us US,R,Alabama
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,4,Florida
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,8,Houston
15,Tree Rollins,C,7-1,235,"June 16, 1955",us US,15,Clemson
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,5,UNC
10,Terry Teagle,SG,6-5,195,"April 10, 1960",us US,10,Baylor
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,8,Providence
20,Kennard Winchester,SG,6-5,210,"September 3, 1966",us US,2,"James Madison University, Averett University"
