No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
25,Anthony Bowie,SG,6-6,190,"November 9, 1963",us US,1,Oklahoma
44,Adrian Caldwell,PF,6-8,265,"July 4, 1966",us US,R,"SMU, Lamar"
3,Derrick Chievous,SF,6-7,195,"July 3, 1967",us US,1,Missouri
9,Byron Dinkins,PG,6-1,170,"June 15, 1967",us US,R,UNC Charlotte
21,Sleepy Floyd,PG,6-3,170,"March 6, 1960",us US,7,Georgetown
1,Buck Johnson,SF,6-7,190,"January 3, 1964",us US,3,Alabama
32,Lewis Lloyd,SG,6-6,205,"February 22, 1959",us US,6,Drake University
10,John Lucas,PG,6-3,175,"October 31, 1953",us US,13,Maryland
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,1,Florida
40,Tim McCormick,C,6-11,240,"March 10, 1962",us US,5,Michigan
52,Chuck Nevitt,C,7-5,217,"June 13, 1959",us US,6,NC State
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,5,Houston
13,Larry Smith,PF,6-8,215,"January 18, 1958",us US,9,Alcorn State
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,5,Providence
15,Mitchell Wiggins,SG,6-4,185,"September 28, 1959",us US,4,"Clemson, Florida State"
42,Mike Woodson,SG,6-5,195,"March 24, 1958",us US,9,Indiana
