No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,1,"Colorado, Iowa"
21,Sleepy Floyd,PG,6-3,170,"March 6, 1960",us US,9,Georgetown
35,Dan Godfread,C,6-10,250,"June 14, 1967",us US,1,University of Evansville
9,Gerald Henderson,PG,6-2,175,"January 16, 1956",us US,12,VCU
7,Carl Herrera,PF,6-9,215,"December 14, 1966",tt TT,R,"Jacksonville College, Houston"
32,Dave Jamerson,SG,6-5,190,"August 13, 1967",us US,1,Ohio University
6,Avery Johnson,PG,5-10,175,"March 25, 1965",us US,3,"Cameron University, Southern University and A&M College"
1,Buck Johnson,SF,6-7,190,"January 3, 1964",us US,5,Alabama
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,3,Florida
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,7,Houston
15,Tree Rollins,C,7-1,235,"June 16, 1955",us US,14,Clemson
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,4,UNC
13,Larry Smith,PF,6-8,215,"January 18, 1958",us US,11,Alcorn State
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,7,Providence
40,John Turner,SF,6-8,245,"November 30, 1967",us US,R,"Georgetown, Phillips University"
20,Kennard Winchester,SG,6-5,210,"September 3, 1966",us US,1,"James Madison University, Averett University"
