No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Mark Bryant,C,6-9,245,"April 25, 1965",us US,5,Seton Hall
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,10,Houston
24,Chris Dudley,C,6-11,235,"February 22, 1965",us US,6,Yale
44,Harvey Grant,SF,6-8,195,"July 4, 1965",us US,5,"Clemson, Oklahoma"
21,Jaren Jackson,SG,6-4,190,"October 27, 1967",us US,3,Georgetown
25,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,9,Longwood University
31,Tracy Murray,SF,6-7,225,"July 25, 1971",us US,1,UCLA
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,8,University of Wisconsin-Stevens Point
3,Clifford Robinson,C,6-10,225,"December 16, 1966",us US,4,UConn
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,R,Alabama
54,Reggie Smith,PF,6-10,240,"August 21, 1970",us US,1,TCU
1,Rod Strickland,PG,6-3,175,"July 11, 1966",us US,5,DePaul
35,Kevin Thompson,C,6-11,260,"February 7, 1971",us US,R,NC State
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,12,Maryland
