No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Toumani Camara,PF,6-8,220,"May 8, 2000",be BE,1,Dayton
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us US,6,
8,Deni Avdija,SF,6-9,210,"January 3, 2001",il IL,4,
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca CA,2,Kentucky
0,Scoot Henderson,PG,6-3,202,"February 3, 2004",us US,1,
24,Kris Murray,SF,6-8,220,"August 19, 2000",us US,1,Iowa
5,Dalano Banton,PG,6-9,204,"November 7, 1999",ca CA,3,Nebraska
23,Donovan Clingan,C,7-2,280,"February 23, 2004",us US,R,UConn
34,Jabari Walker,SF,6-9,215,"July 30, 2002",us US,2,Colorado
9,Jerami Grant,PF,6-7,210,"March 12, 1994",us US,10,Syracuse
21,Rayan Rupert,SG,6-6,205,"May 31, 2004",fr FR,1,
2,Deandre Ayton,C,7-0,250,"July 23, 1998",bs BS,6,Arizona
26,Duop Reath,C,6-11,245,"June 26, 1996",ss SS,1,"Lee College, LSU"
35,Robert Williams,C,6-9,237,"October 17, 1997",us US,6,Texas A&M
11,Bryce McGowens (TW),SG,6-7,179,"November 8, 2002",us US,2,Nebraska
10,Justin Minaya (TW),SF,6-5,210,"March 26, 1999",us US,2,
4,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us US,5,Washington
91,Sidy Cissoko (TW),SF,6-8,200,"April 2, 2004",fr FR,1,
