No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Alaa Abdelnaby,PF,6-10,240,"June 24, 1968",eg EG,R,Duke
9,Danny Ainge,SG,6-5,185,"March 17, 1959",us US,9,BYU
2,Mark Bryant,PF,6-9,245,"April 25, 1965",us US,2,Seton Hall
42,Wayne Cooper,C,6-10,220,"November 16, 1956",us US,12,New Orleans
6,Walter Davis,SG,6-6,193,"September 9, 1954",us US,13,UNC
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,7,Houston
0,Kevin Duckworth,C,7-0,275,"April 1, 1964",us US,4,Eastern Illinois University
25,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,6,Longwood University
44,Dražen Petrović,SG,6-5,195,"October 22, 1964",hr HR,1,
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,5,University of Wisconsin-Stevens Point
3,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,1,UConn
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,9,Maryland
21,Danny Young,PG,6-3,175,"July 26, 1962",us US,6,Wake Forest
