No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Kenny Anderson,PG,6-1,168,"October 9, 1970",us US,6,Georgia Tech
17,Vincent Askew,SG,6-6,210,"February 28, 1966",us US,8,Memphis
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,6,UNLV
9,Rick Brunson,PG,6-4,190,"June 14, 1972",us US,R,Temple
31,Kelvin Cato,C,6-11,255,"August 26, 1974",us US,R,"University of South Alabama, Iowa State"
12,John Crotty,PG,6-1,185,"July 15, 1969",us US,5,Virginia
44,Brian Grant,SF,6-9,254,"March 5, 1972",us US,3,Xavier
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,9,Michigan
19,Sean Higgins,SF,6-9,205,"December 30, 1968",us US,5,Michigan
53,Alton Lister,C,7-0,240,"October 1, 1958",us US,15,Arizona State
5,Jermaine O'Neal,PF,6-11,226,"October 13, 1978",us US,1,
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,4,UNLV
4,Carlos Rogers,PF,6-11,220,"February 6, 1971",us US,3,"Little Rock, Tennessee State"
11,Arvydas Sabonis,C,7-3,279,"December 19, 1964",lt LT,2,
3,Damon Stoudamire,PG,5-10,171,"September 3, 1973",us US,2,Arizona
33,Gary Trent,PF,6-8,250,"September 22, 1974",us US,2,Ohio University
30,Rasheed Wallace,PF,6-11,225,"September 17, 1974",us US,2,UNC
21,Alvin Williams,SG,6-5,185,"August 6, 1974",us US,R,Villanova
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,5,Maryland
10,Dontonio Wingfield,SF,6-8,256,"June 23, 1974",us US,3,Cincinnati
