No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4.0,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee"
15.0,Austin Reaves,SG,6-5,206,"May 29, 1998",us US,3,"Wichita State, Oklahoma"
7.0,Gabe Vincent,PG,6-3,195,"June 14, 1996",us US,5,UC Santa Barbara
23.0,LeBron James,SF,6-9,250,"December 30, 1984",us US,21,
28.0,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,5,Gonzaga
11.0,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,5,Texas
10.0,Christian Koloko (TW),C,7-1,230,"June 20, 2000",cm CM,1,Arizona
17.0,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,8,Florida
5.0,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,5,Duke
2.0,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,6,Kentucky
20.0,Shake Milton,SG,6-5,205,"September 26, 1996",us US,6,SMU
9.0,Bronny James,SG,6-2,210,"October 6, 2004",us US,R,USC
77.0,Luka Dončić,PG,6-6,230,"February 28, 1999",si SI,6,
30.0,Jordan Goodwin (TW),PG,6-3,200,"October 23, 1998",us US,3,Saint Louis
55.0,Trey Jemison (TW),C,6-11,260,"November 28, 1999",us US,1,"Clemson, UAB"
27.0,Alex Len,C,7-0,250,"June 16, 1993",ua UA,11,Maryland
88.0,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas
,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,
