No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
43,Corie Blount,PF,6-9,240,"January 4, 1969",us US,3,Cincinnati
8,Kobe Bryant,SF,6-6,212,"August 23, 1978",us US,R,
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,6,Clemson
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,6,Cal State Fullerton
2,Derek Fisher,PG,6-1,200,"August 9, 1974",us US,R,Little Rock
5,Robert Horry,SF,6-10,240,"August 25, 1970",us US,4,Alabama
6,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,2,Temple
12,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,12,Longwood University
35,Joe Kleine,C,6-11,255,"January 4, 1962",us US,11,"Notre Dame, Arkansas"
40,Travis Knight,C,7-0,235,"September 13, 1974",us US,R,UConn
7,Larry Krystkowiak,PF,6-9,220,"September 23, 1964",us US,9,Montana
24,George McCloud,SF,6-6,205,"May 27, 1967",us US,6,Florida State
34,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us US,4,LSU
20,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,5,Michigan
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,4,Arizona
4,Byron Scott,SG,6-3,195,"March 28, 1961",us US,13,Arizona State
9,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,3,"Trinity Valley CC, Cincinnati"
