No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Vincent Askew,SG,6-6,210,"February 28, 1966",us US,3,Memphis
24,Anthony Bonner,PF,6-8,215,"June 8, 1968",us US,2,Saint Louis
3,Randy Brown,PG,6-2,190,"May 22, 1968",us US,1,"Houston, New Mexico State"
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,2,Temple
32,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,1,UNC
25,Marty Conlon,C,6-10,224,"January 19, 1968",us US,1,Providence
21,Rod Higgins,SF,6-7,200,"January 31, 1960",us US,10,Fresno State
51,Henry James,PF,6-8,220,"July 29, 1965",us US,2,"South Plains College, St. Mary's University"
21,Stan Kimbrough,PG,5-11,153,"April 24, 1966",us US,1,"Central Florida, Xavier"
33,Jim Les,PG,5-11,165,"August 18, 1963",us US,4,"Cleveland State University, Bradley"
30,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,11,Santa Clara
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,4,"Moberly Area Community College, Kansas State"
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,2,La Salle
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,7,Oklahoma
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,7,"Midland College, NC State"
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,R,Maryland
