No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,7,LSU
9,Tariq Abdul-Wahad,SG,6-6,223,"November 3, 1974",fr FR,R,"Michigan, San Jose State"
24,Terry Dehere,PG,6-2,190,"September 12, 1971",us US,4,Seton Hall
51,Lawrence Funderburke,PF,6-9,230,"December 15, 1970",us US,R,"Indiana, Ohio State"
54,Derek Grimm,SF,6-9,230,"August 3, 1974",us US,R,Missouri
42,Mark Hendrickson,PF,6-9,220,"June 23, 1974",us US,1,Washington State
7,Bobby Hurley,PG,6-0,165,"June 28, 1971",us US,4,Duke
10,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,R,College of Charleston
30,Billy Owens,SF,6-8,220,"May 1, 1969",us US,6,Syracuse
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,10,Virginia
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,9,"Moberly Area Community College, Kansas State"
5,Chris Robinson,SG,6-5,200,"April 2, 1974",us US,1,Western Kentucky
32,Kevin Salvadori,C,7-0,231,"December 30, 1970",us US,1,UNC
34,Michael Smith,PF,6-8,230,"March 28, 1972",us US,3,Providence
13,Michael Stewart,C,6-10,230,"April 25, 1975",fr FR,R,California
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,13,Providence
4,Corliss Williamson,SF,6-7,245,"December 4, 1973",us US,2,Arkansas
