No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,B.J. Armstrong,PG,6-2,175,"September 9, 1967",us US,7,Iowa
5,Melvin Booker,PG,6-2,185,"August 20, 1972",us US,1,Missouri
23,Scott Burrell,SF,6-7,218,"January 12, 1971",us US,3,UConn
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,6,Virginia Tech
55,Andrew DeClercq,C,6-10,230,"February 1, 1973",us US,1,Florida
52,Todd Fuller,C,6-11,255,"July 25, 1974",us US,R,NC State
3,Donyell Marshall,SF,6-9,218,"May 18, 1973",us US,2,UConn
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,11,St. John's
35,Ray Owes,PF,6-9,224,"December 11, 1972",us US,R,Arizona
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,10,Georgia Tech
21,Lou Roe,SF,6-7,220,"July 14, 1972",us US,1,UMass
5,Donald Royal,SF,6-8,210,"May 22, 1966",us US,6,Notre Dame
44,Clifford Rozier,C,6-11,245,"October 31, 1972",us US,2,"UNC, Louisville"
32,Joe Smith,PF,6-10,225,"July 26, 1975",us US,1,Maryland
50,Felton Spencer,C,7-0,265,"January 15, 1968",us US,6,Louisville
15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",us US,4,"Three Rivers Community College, Alabama"
