No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7.0,Buddy Hield,SG,6-4,220.0,"December 17, 1992",bs BS,8,Oklahoma
5.0,Kevon Looney,C,6-9,222.0,"February 6, 1996",us US,9,UCLA
4.0,Moses Moody,SG,6-5,205.0,"May 31, 2002",us US,3,Arkansas
30.0,Stephen Curry,PG,6-2,185.0,"March 14, 1988",us US,15,Davidson
23.0,Draymond Green,PF,6-6,230.0,"March 4, 1990",us US,12,Michigan State
0.0,Gary Payton II,SG,6-2,190.0,"December 1, 1992",us US,8,Oregon State
32.0,Trayce Jackson-Davis,C,6-9,245.0,"February 22, 2000",us US,1,Indiana
2.0,Brandin Podziemski,SG,6-5,205.0,"February 25, 2003",us US,1,"Illinois, Santa Clara"
15.0,Gui Santos,PF,6-8,209.0,"June 22, 2002",br BR,1,
0.0,Jonathan Kuminga,PF,6-8,210.0,"October 6, 2002",cd CD,3,
21.0,Quinten Post,PF,7-0,238.0,"March 21, 2000",nl NL,R,"Mississippi State, Boston College"
61.0,Pat Spencer,PG,6-3,205.0,"July 4, 1996",us US,1,"Loyola (MD), Northwestern"
10.0,Jimmy Butler,SF,6-7,230.0,"September 14, 1989",us US,13,"Tyler Junior College, Marquette"
44.0,Jackson Rowe (TW),PF,6-7,210.0,"January 4, 1997",ca CA,R,Cal State Fullerton
,Taran Armstrong (TW),G,6-6,,"January 15, 2002",au AU,R,California Baptist University
,Braxton Key (TW),SF,6-8,230.0,"February 14, 1997",us US,3,"Alabama, Virginia"
