No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,B.J. Armstrong,PG,6-2,175,"September 9, 1967",us US,6,Iowa
20,Jon Barry,SG,6-4,195,"July 25, 1969",us US,3,"University of the Pacific, Georgia Tech"
21,Robert Churchwell,SG,6-6,195,"February 20, 1972",us US,R,Georgetown
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,5,Virginia Tech
55,Andrew DeClercq,C,6-10,230,"February 1, 1973",us US,R,Florida
25,Chris Gatling,PF,6-10,220,"September 3, 1967",us US,4,Old Dominion
43,Geert Hammink,C,7-0,262,"July 12, 1969",nl NL,2,LSU
10,Tim Hardaway,PG,6-0,175,"September 1, 1966",us US,5,Texas-El Paso
7,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,11,Longwood University
3,Donyell Marshall,SF,6-9,218,"May 18, 1973",us US,1,UConn
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,10,St. John's
44,Clifford Rozier,C,6-11,245,"October 31, 1972",us US,1,"UNC, Louisville"
4,Rony Seikaly,C,6-11,230,"May 10, 1965",lb LB,7,Syracuse
32,Joe Smith,PF,6-10,225,"July 26, 1975",us US,R,Maryland
15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",us US,3,"Three Rivers Community College, Alabama"
41,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,10,Michigan State
12,David Wood,PF,6-9,227,"November 30, 1964",us US,5,Nevada
