No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Muggsy Bogues,PG,5-3,136,"January 9, 1965",us US,11,Wake Forest
21,Jason Caffey,PF,6-8,255,"June 12, 1973",us US,3,Alabama
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,8,Virginia Tech
35,Terry Cummings,PF,6-9,220,"March 15, 1961",us US,16,DePaul
25,Erick Dampier,C,6-11,265,"July 14, 1975",us US,2,Mississippi State
0,Tony Delk,PG,6-1,189,"January 28, 1974",us US,2,Kentucky
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,10,Georgia Tech
31,Adonal Foyle,C,6-10,250,"March 9, 1975",vc VC,1,Colgate
7,Antawn Jamison,SF,6-9,223,"June 12, 1976",us US,R,UNC
3,Donyell Marshall,SF,6-9,218,"May 18, 1973",us US,4,UConn
34,Chris Mills,SF,6-6,215,"January 25, 1970",us US,5,"Kentucky, Arizona"
50,Felton Spencer,C,7-0,265,"January 15, 1968",us US,8,Louisville
9,John Starks,SG,6-5,180,"August 10, 1965",us US,9,"Northern Oklahoma College, Oklahoma Junior College, Oklahoma State"
