No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
52,Victor Alexander,C,6-9,265,"August 31, 1969",us US,R,Iowa State
4,Vincent Askew,SG,6-6,210,"February 28, 1966",us US,2,Memphis
33,Kenny Battle,SG,6-6,210,"October 10, 1964",us US,2,"Northern Illinois, Illinois"
35,Jud Buechler,SF,6-6,220,"June 19, 1968",us US,1,Arizona
20,Mario Elie,SG,6-5,210,"November 26, 1963",us US,1,American International College
25,Chris Gatling,PF,6-10,220,"September 3, 1967",us US,R,Old Dominion
10,Tim Hardaway,PG,6-0,175,"September 1, 1966",us US,2,Texas-El Paso
22,Rod Higgins,SF,6-7,200,"January 31, 1960",us US,9,Fresno State
32,Tyrone Hill,C,6-9,240,"March 19, 1968",us US,1,Xavier
11,Jaren Jackson,SG,6-4,190,"October 27, 1967",us US,1,Georgetown
53,Alton Lister,C,7-0,240,"October 1, 1958",us US,10,Arizona State
13,Šarūnas Marčiulionis,SG,6-5,200,"June 13, 1964",lt LT,2,
45,Tony Massenburg,PF,6-9,220,"July 31, 1967",us US,1,Maryland
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,6,St. John's
30,Billy Owens,PF,6-8,220,"May 1, 1969",us US,R,Syracuse
43,Jim Petersen,PF,6-10,235,"February 22, 1962",us US,7,Minnesota
55,Mike Smrek,C,7-0,250,"August 31, 1962",ca CA,6,Canisius
55,Billy Thompson,SF,6-7,195,"December 1, 1963",us US,5,Louisville
3,Tom Tolbert,PF,6-7,235,"October 16, 1965",us US,3,"University of California, Irvine, Arizona"
