No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0.0,Christian Braun,SG,6-6,218,"April 17, 2001",us US,2,Kansas
1.0,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,5,Missouri
4.0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,16,UCLA
27.0,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,7,Kentucky
15.0,Nikola Jokić,C,6-11,284,"February 19, 1995",rs RS,9,
3.0,Julian Strawther,SG,6-7,205,"April 18, 2002",us US,1,Gonzaga
8.0,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,2,UCLA
22.0,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us US,4,Arizona
6.0,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,16,Texas A&M
5.0,Hunter Tyson,PF,6-8,215,"June 13, 2000",us US,1,Clemson
32.0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,10,Arizona
24.0,Jalen Pickett,SG,6-4,209,"October 22, 1999",us US,1,"Siena College, Penn State"
23.0,Trey Alexander (TW),SG,6-4,185,"May 2, 2003",us US,R,Creighton
13.0,PJ Hall (TW),C,6-8,245,"February 21, 2002",us US,R,Clemson
21.0,Spencer Jones (TW),SF,6-7,225,"June 14, 2001",us US,R,Stanford
9.0,Dario Šarić,C,6-10,225,"April 8, 1994",hr HR,7,
31.0,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si SI,4,
,DaRon Holmes,PF,6-10,225,"August 15, 2002",us US,R,Dayton
