No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,3,LSU
43,Kevin Brooks,SF,6-6,200,"October 12, 1969",us US,2,Louisiana
8,Bison Dele,C,6-9,235,"April 6, 1969",us US,2,"Maryland, Arizona"
20,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,1,Notre Dame
22,Jim Farmer,SG,6-4,190,"September 23, 1964",us US,4,Alabama
21,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,4,Georgia Tech
1,Adonis Jordan,PG,5-11,170,"August 21, 1970",us US,R,Kansas
30,Marcus Liberty,SF,6-8,205,"October 27, 1968",us US,3,Illinois
12,Mark Macon,SG,6-5,185,"April 14, 1969",us US,2,Temple
5,Roy Marble,SF,6-6,190,"December 13, 1966",us US,1,Iowa
4,Darnell Mee,SG,6-5,175,"February 11, 1971",us US,R,Western Kentucky
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,2,Georgetown
14,Robert Pack,PG,6-2,180,"February 3, 1969",us US,2,USC
42,Mark Randall,PF,6-8,235,"September 30, 1967",us US,2,Kansas
54,Rodney Rogers,SF,6-7,235,"June 20, 1971",us US,R,Wake Forest
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,1,Virginia
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,6,Georgetown
