No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,2,LSU
43,Kevin Brooks,SF,6-6,200,"October 12, 1969",us US,1,Louisiana
20,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,R,Notre Dame
21,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,3,Georgia Tech
10,Scott Hastings,C,6-10,235,"June 3, 1960",us US,10,Arkansas
30,Marcus Liberty,SF,6-8,205,"October 27, 1968",us US,2,Illinois
"21, 24",Todd Lichti,SG,6-4,205,"January 8, 1967",us US,3,Stanford
1,Mark Macon,PG,6-5,185,"April 14, 1969",us US,1,Temple
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,1,Georgetown
12,Robert Pack,PG,6-2,180,"February 3, 1969",us US,1,USC
45,Gary Plummer,PF,6-9,215,"February 21, 1962",us US,1,Boston University
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,R,Virginia
28,Robert Werdann,C,6-11,250,"September 12, 1970",us US,R,St. John's
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,5,Georgetown
