,team,year,avg_ht,avg_wt
0,HOU,1990,200.66,93.41167869687501
1,HOU,1991,201.02285714285713,96.064384075
2,HOU,1992,199.86625,94.63070819125
3,HOU,1993,200.2971428571429,93.56962604
4,HOU,1994,200.82933333333338,96.705893284
5,HOU,1995,201.10823529411766,98.3761804817647
6,HOU,1996,199.5311111111111,96.23718116833334
7,HOU,1997,198.26111111111112,94.82600490611112
8,HOU,1998,200.66,97.65195737
9,HOU,1999,200.3425,98.76973856750001
10,HOU,2000,202.15411764705883,103.12555941470589
11,HOU,2001,202.18400000000003,100.78822461400001
12,HOU,2002,201.74857142857144,98.81833775000003
13,HOU,2003,203.19999999999993,103.05618646400002
14,HOU,2004,199.76352941176472,102.6719670447059
15,HOU,2005,197.78869565217389,97.08848858739132
16,HOU,2006,198.8457142857143,98.51594283666665
17,HOU,2007,202.35333333333332,101.81636731933334
18,HOU,2008,200.5390476190476,99.09913302666668
19,HOU,2009,200.66,100.93764327705883
20,HOU,2010,200.78095238095236,100.76230505000001
21,HOU,2011,200.787,100.85626346950002
22,HOU,2012,198.78842105263158,98.47729085526316
23,HOU,2013,200.279,99.97175834800001
24,HOU,2014,200.09555555555553,99.03433411666668
25,HOU,2015,199.39000000000001,97.77183535350001
26,HOU,2016,199.67222222222225,99.28632987777777
27,HOU,2017,199.2488888888889,96.71597311444445
28,HOU,2018,198.12,96.48287703541666
29,HOU,2019,199.0034782608696,99.00146510434783
30,HOU,2020,198.72476190476192,99.33672903
31,HOU,2021,197.52733333333333,98.80753793166667
32,HOU,2022,196.24842105263156,96.16158244
33,HOU,2023,199.95444444444445,100.24391377
34,HOU,2024,200.21176470588236,100.27059567411764
35,HOU,2025,199.5311111111111,100.11791588944445
36,DEN,1990,198.8457142857143,92.889237485
37,DEN,1991,197.75714285714284,92.53284348000001
38,DEN,1992,201.168,94.80080533000002
39,DEN,1993,200.8414285714286,95.09240042500001
40,DEN,1994,198.26941176470586,92.31938824705882
41,DEN,1995,198.26941176470586,93.11984537058824
42,DEN,1996,200.36117647058825,96.72190242647059
43,DEN,1997,196.90521739130435,93.4203068126087
44,DEN,1998,200.18375,99.30837950687501
45,DEN,1999,198.91375,96.30333005562501
46,DEN,2000,199.91294117647058,96.98872146764707
47,DEN,2001,202.07111111111112,99.51312606277779
48,DEN,2002,199.20857142857145,98.92633593333333
49,DEN,2003,199.93428571428575,97.58715846
50,DEN,2004,201.16799999999998,99.72984241733333
51,DEN,2005,200.36117647058825,98.34949857764707
52,DEN,2006,197.9863157894737,97.47461298473684
53,DEN,2007,198.68444444444447,97.14436590833333
54,DEN,2008,197.67176470588237,97.22885860470589
55,DEN,2009,199.46470588235292,98.96318237235295
56,DEN,2010,200.07384615384612,102.02339152923075
57,DEN,2011,201.32842105263157,103.84877944736843
58,DEN,2012,202.9011764705882,101.76478230470589
59,DEN,2013,202.86133333333333,100.21367427866667
60,DEN,2014,199.54874999999998,99.39342807625002
61,DEN,2015,198.62800000000001,99.2233309375
62,DEN,2016,199.32315789473682,99.07412292105263
63,DEN,2017,201.9968421052632,104.58885120894736
64,DEN,2018,199.81333333333333,100.11791588944443
65,DEN,2019,198.68444444444447,98.50514301833333
66,DEN,2020,201.2647619047619,99.98471812999998
67,DEN,2021,199.39000000000004,99.08931501
68,DEN,2022,197.88909090909092,97.295563365
69,DEN,2023,199.53111111111107,100.52110910722223
70,DEN,2024,200.95882352941177,100.3506413864706
71,DEN,2025,202.21222222222224,101.93228536944444
72,LAL,1990,203.708,97.49212005866666
73,LAL,1991,201.63692307692307,95.39396458307692
74,LAL,1992,199.81333333333333,94.55888939933335
75,LAL,1993,201.02285714285713,97.55475900500001
76,LAL,1994,202.40625,95.73633959312501
77,LAL,1995,200.9775,93.61012535875001
78,LAL,1996,200.66,95.31919661000002
79,LAL,1997,201.4070588235294,100.91096137294119
80,LAL,1998,200.2692307692308,101.60469088
81,LAL,1999,201.1082352941177,101.60469088000002
82,LAL,2000,200.66,98.88313666000002
83,LAL,2001,200.66,100.45559020933335
84,LAL,2002,199.64399999999998,101.21157749266668
85,LAL,2003,201.93000000000004,103.41906036000002
86,LAL,2004,200.95882352941175,102.08496515411764
87,LAL,2005,201.6125,100.017117585
88,LAL,2006,203.0505882352941,103.47242416823529
89,LAL,2007,201.02285714285713,101.31309578499999
90,LAL,2008,203.2,103.5384267731579
91,LAL,2009,203.51749999999998,101.179448033125
92,LAL,2010,202.0276923076923,101.77914948384617
93,LAL,2011,201.93,102.56857466625
94,LAL,2012,200.66,100.8042337564706
95,LAL,2013,199.54875,99.84702044625001
96,LAL,2014,200.25894736842105,98.07144505052632
97,LAL,2015,199.5311111111111,99.89111970444446
98,LAL,2016,201.33733333333333,103.3888208686667
99,LAL,2017,200.23666666666668,99.66432351944445
100,LAL,2018,200.7658333333333,99.9037194925
101,LAL,2019,201.12181818181818,97.27494552999998
102,LAL,2020,198.755,99.926399111
103,LAL,2021,200.39263157894737,101.96279011947368
104,LAL,2022,196.18959999999998,96.5607437256
105,LAL,2023,198.41307692307691,96.1790283003846
106,LAL,2024,200.78095238095236,97.30636318333333
107,LAL,2025,202.21222222222224,101.75588833666667
108,GSW,1990,203.2,97.77435531111111
109,GSW,1991,201.08333333333334,98.70673962722222
110,GSW,1992,201.4621052631579,99.07412292105263
111,GSW,1993,198.50099999999998,96.9100098505
112,GSW,1994,197.00875000000002,97.04041765687501
113,GSW,1995,201.50666666666666,95.63239134166666
114,GSW,1996,201.7058823529412,96.50844719352942
115,GSW,1997,200.50125,97.09711670312501
