No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Dexter Boney,SG,6-4,185,"April 27, 1970",us US,R,UNLV
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,7,NC State
45,Mike Brown,C,6-9,257,"July 19, 1963",us US,10,George Washington
2,Mark Bryant,PF,6-9,245,"April 25, 1965",us US,8,Seton Hall
10,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,3,Florida State
1,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,6,Cal State Fullerton
3,Rex Chapman,SG,6-4,185,"October 5, 1967",us US,8,Kentucky
43,Ben Davis,PF,6-9,240,"December 26, 1972",us US,R,"Kansas, Arizona"
27,Tony Dumas,SG,6-6,190,"August 25, 1972",us US,2,Missouri-Kansas City
4,Michael Finley,SF,6-7,215,"March 6, 1973",us US,1,Wisconsin
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,11,Oregon State
25,Robert Horry,SF,6-10,240,"August 25, 1970",us US,4,Alabama
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,9,California
32,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,2,California
35,Joe Kleine,C,6-11,255,"January 4, 1962",us US,11,"Notre Dame, Arkansas"
17,Horacio Llamas,C,6-11,285,"July 17, 1973",mx MX,R,Grand Canyon University
15,Danny Manning,PF,6-10,230,"May 17, 1966",us US,8,Kansas
40,Loren Meyer,PF,6-10,257,"December 30, 1972",us US,1,Iowa State
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,R,Santa Clara
11,Wesley Person,SG,6-6,195,"March 28, 1971",us US,2,Auburn
20,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,5,Michigan
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,11,Oklahoma
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,10,Tulane
