No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Danny Ainge,SG,6-5,185,"March 17, 1959",us US,11,BYU
34,Charles Barkley,PF,6-6,252,"February 20, 1963",us US,8,Auburn
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,2,Cal State Fullerton
24,Tom Chambers,PF,6-10,220,"June 21, 1959",us US,11,Utah
21,Richard Dumas,SF,6-7,200,"May 19, 1969",us US,R,Oklahoma State
3,Frank Johnson,PG,6-1,185,"November 23, 1958",us US,8,Wake Forest
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,5,California
8,Tim Kempton,PF,6-10,245,"January 25, 1964",us US,3,Notre Dame
32,Negele Knight,PG,6-1,175,"March 6, 1967",us US,2,Dayton
9,Dan Majerle,SG,6-6,215,"September 9, 1965",us US,4,Central Michigan University
25,Oliver Miller,C,6-9,280,"April 6, 1970",us US,R,Arkansas
0,Jerrod Mustaf,PF,6-10,238,"October 28, 1969",us US,2,Maryland
31,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,11,Santa Clara
11,Alex Stivrins,PF,6-8,220,"November 29, 1962",us US,1,"Creighton, Colorado"
41,Mark West,C,6-10,230,"November 5, 1960",us US,9,Old Dominion
