No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Toby Bailey,SG,6-6,213,"November 19, 1975",us US,R,UCLA
4,Gerald Brown,SG,6-4,210,"July 28, 1975",us US,R,Pepperdine
3,Rex Chapman,SG,6-4,185,"October 5, 1967",us US,10,Kentucky
8,Pat Garrity,PF,6-9,238,"August 23, 1976",us US,R,Notre Dame
24,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us US,6,NC State
32,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,4,California
35,Joe Kleine,C,6-11,255,"January 4, 1962",us US,13,"Notre Dame, Arkansas"
2,Randy Livingston,PG,6-4,209,"April 2, 1975",us US,2,LSU
13,Luc Longley,C,7-2,265,"January 19, 1969",au AU,7,New Mexico
15,Danny Manning,PF,6-10,230,"May 17, 1966",us US,10,Kansas
21,George McCloud,SF,6-6,205,"May 27, 1967",us US,8,Florida State
20,Marko Milič,SG,6-6,235,"May 7, 1977",si SI,1,
34,Chris Morris,SF,6-8,210,"January 20, 1966",us US,10,Auburn
11,Jimmy Oliver,SG,6-5,205,"July 12, 1969",us US,4,Purdue
2,Shawn Respert,SG,6-1,195,"February 6, 1972",us US,3,Michigan State
30,Clifford Robinson,SF,6-10,225,"December 16, 1966",us US,9,UConn
19,Alvin Sims,SG,6-4,235,"October 18, 1974",us US,R,Louisville
