No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Kenny Battle,SG,6-6,210,"October 10, 1964",us US,1,"Northern Illinois, Illinois"
2,Joe Barry Carroll,C,7-0,225,"July 24, 1958",us US,9,Purdue
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,R,Cal State Fullerton
24,Tom Chambers,PF,6-10,220,"June 21, 1959",us US,9,Utah
14,Jeff Hornacek,SG,6-4,190,"May 3, 1963",us US,4,Iowa State
8,Eddie Johnson,SG,6-7,215,"May 1, 1959",us US,9,Illinois
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,3,California
32,Negele Knight,PG,6-1,175,"March 6, 1967",us US,R,Dayton
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,2,Arkansas
51,Ian Lockhart,SF,6-8,240,"June 25, 1967",bs BS,R,Tennessee
9,Dan Majerle,SF,6-6,215,"September 9, 1965",us US,2,Central Michigan University
35,Xavier McDaniel,SF,6-7,205,"June 4, 1963",us US,5,Wichita State
45,Ed Nealy,PF,6-7,238,"February 19, 1960",us US,7,Kansas State
34,Tim Perry,C,6-9,200,"June 4, 1965",us US,2,Temple
31,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,9,Santa Clara
41,Mark West,C,6-10,230,"November 5, 1960",us US,7,Old Dominion
