No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Mark Aguirre,SF,6-6,232,"December 10, 1959",us US,12,DePaul
24,Terry Dehere,PG,6-2,190,"September 12, 1971",us US,R,Seton Hall
30,Harold Ellis,SF,6-5,200,"October 7, 1970",us US,R,Morehouse College
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,5,Michigan
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,7,Miami University
13,Mark Jackson,PG,6-1,180,"April 1, 1965",us US,6,St. John's
51,Henry James,PF,6-8,220,"July 29, 1965",us US,3,"South Plains College, St. Mary's University"
5,Danny Manning,PF,6-10,230,"May 17, 1966",us US,5,Kansas
42,Bob Martin,C,7-0,250,"October 7, 1969",us US,R,Minnesota
6,Bo Outlaw,SF,6-8,210,"April 13, 1971",us US,R,"South Plains College, Houston"
53,Stanley Roberts,C,7-0,285,"February 7, 1970",us US,2,LSU
27,Elmore Spencer,C,7-0,270,"December 6, 1969",us US,1,"Georgia, UNLV"
3,Tom Tolbert,SF,6-7,235,"October 16, 1965",us US,5,"University of California, Irvine, Arizona"
35,Loy Vaught,PF,6-9,230,"February 27, 1968",us US,3,Michigan
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,11,Georgia
34,John Williams,SF,6-8,235,"October 26, 1966",us US,6,LSU
14,Randy Woods,PG,5-10,185,"September 23, 1970",us US,1,La Salle
