No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8,Isaac Austin,C,6-10,255,"August 18, 1969",us US,4,Arizona State
31,Brent Barry,SG,6-6,185,"December 31, 1971",us US,2,Oregon State
33,Keith Closs,C,7-3,212,"April 3, 1976",us US,R,Central Connecticut State University
32,James Collins,SG,6-4,196,"November 5, 1973",us US,R,Florida State
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,3,UCLA
7,Lamond Murray,SF,6-7,236,"April 20, 1973",us US,3,California
52,Eric Piatkowski,SG,6-7,215,"September 30, 1970",us US,3,Nebraska
24,Pooh Richardson,PG,6-1,180,"May 14, 1966",us US,8,UCLA
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,4,Alabama
54,Rodney Rogers,SF,6-7,235,"June 20, 1971",us US,4,Wake Forest
14,Charles Smith,SG,6-4,194,"August 22, 1975",us US,R,New Mexico
23,Maurice Taylor,PF,6-9,260,"October 30, 1976",us US,R,Michigan
35,Loy Vaught,PF,6-9,230,"February 27, 1968",us US,7,Michigan
11,Stojko Vranković,C,7-2,260,"January 22, 1964",hr HR,3,
55,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,1,Memphis
