No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Keith Closs,C,7-3,212,"April 3, 1976",us US,1,Central Connecticut State University
20,Sherman Douglas,PG,6-0,180,"September 15, 1966",us US,9,Syracuse
6,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,1,"Missouri, Southern Illinois"
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,4,UCLA
7,Lamond Murray,SF,6-7,236,"April 20, 1973",us US,4,California
8,Tyrone Nesby,SF,6-6,225,"January 31, 1976",us US,R,"Vincennes University, UNLV"
34,Michael Olowokandi,C,7-0,269,"April 3, 1975",ng NG,R,University of the Pacific
52,Eric Piatkowski,SG,6-7,215,"September 30, 1970",us US,4,Nebraska
24,Pooh Richardson,PG,6-1,180,"May 14, 1966",us US,9,UCLA
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,5,Alabama
54,Rodney Rogers,SF,6-7,235,"June 20, 1971",us US,5,Wake Forest
32,Brian Skinner,PF,6-9,255,"May 19, 1976",us US,R,Baylor
5,Charles Smith,SG,6-4,194,"August 22, 1975",us US,1,New Mexico
23,Maurice Taylor,PF,6-9,260,"October 30, 1976",us US,1,Michigan
11,Stojko Vranković,C,7-2,260,"January 22, 1964",hr HR,4,
55,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,2,Memphis
